172.16.0.75,
172.16.0.81,22/tcp
172.16.0.88,22/tcp;53/tcp;80/tcp;111/tcp
prof-HP-Compaq-Pro-6300-MT,22/tcp;80/tcp;111/tcp;2049/tcp
172.16.0.109,22/tcp
172.16.0.112,
172.16.0.133,
172.16.0.135,22/tcp;111/tcp;2049/tcp
172.16.0.148,
172.16.0.155,22/tcp;111/tcp;2049/tcp
172.16.0.185,111/tcp;2049/tcp;55055/tcp
172.16.0.248,80/tcp
_gateway,23/tcp;80/tcp;443/tcp
172.16.0.253,23/tcp;53/tcp;80/tcp
